country,state,state_name,year,month,sentiment,Total,Negative,Neutral,Positive,LDA,NMF,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4,LDA_5,LDA_6,LDA_7,LDA_8,LDA_9,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,words,freq
USA,PA,Pennsylvania,2020,04,0.06410294493927587,5143,1159.0,1817.0,2167.0,8,4,816.0,331.0,319.0,317.0,121.0,332.0,500.0,305.0,1248.0,854.0,1172.0,226.0,595.0,221.0,1415.0,290.0,262.0,298.0,331.0,333.0,"['people' 'trump' 'time' 'like' 'need' 'pandemic' 'new' 'know' 'death'
 'help']",[356 350 271 267 258 255 232 204 183 167]
USA,PA,Pennsylvania,2020,05,0.051525922830790584,1777,425.0,663.0,689.0,8,4,280.0,118.0,121.0,112.0,34.0,114.0,163.0,87.0,426.0,322.0,443.0,66.0,171.0,64.0,491.0,114.0,105.0,102.0,117.0,104.0,"['people' 'trump' 'day' 'like' 'need' 'home' 'death' 'life' 'time'
 'pandemic']",[140 128  95  92  79  72  71  66  66  65]
USA,RI,Rhode Island,2020,01,-0.0013545048701298712,16,3.0,7.0,6.0,1,1,3.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,2.0,"['china' 'way' 'government' 'make' 'news' 'real' 'really' 'sent' 'aid'
 'beer']",[6 3 2 2 2 2 2 2 1 1]
USA,RI,Rhode Island,2020,02,-0.08925748228379808,76,31.0,31.0,14.0,1,4,10.0,18.0,10.0,1.0,1.0,4.0,8.0,2.0,17.0,5.0,11.0,18.0,5.0,4.0,19.0,3.0,4.0,6.0,3.0,3.0,['flu' 'trump' 'wuhan' 'guy' 'let' 'like' 'people' 'public' 'say' 'thank'],[9 7 6 5 5 5 5 5 5 5]
USA,RI,Rhode Island,2020,03,0.06345869863001243,529,115.0,195.0,219.0,8,4,84.0,50.0,27.0,46.0,11.0,29.0,49.0,23.0,116.0,94.0,114.0,67.0,59.0,19.0,141.0,28.0,37.0,18.0,27.0,19.0,['people' 'case' 'day' 'like' 'need' 'time' 'work' 'know' 'today' 'home'],[45 38 37 37 26 25 25 24 23 20]
USA,RI,Rhode Island,2020,04,0.04310712479139709,639,172.0,215.0,252.0,8,4,99.0,37.0,21.0,42.0,16.0,34.0,67.0,40.0,180.0,103.0,121.0,27.0,45.0,38.0,207.0,36.0,56.0,42.0,31.0,36.0,['people' 'trump' 'home' 'new' 'day' 'good' 'know' 'time' 'death' 'really'],[74 49 47 38 34 33 31 31 29 28]
USA,RI,Rhode Island,2020,05,0.01588118240067781,218,62.0,67.0,89.0,8,4,38.0,12.0,22.0,9.0,7.0,5.0,17.0,8.0,58.0,42.0,43.0,5.0,14.0,10.0,65.0,15.0,9.0,19.0,19.0,19.0,"['people' 'trump' 'really' 'evil' 'home' 'like' 'family' 'care' 'day'
 'know']",[22 21 17 16 16 16 12 11 11 11]
USA,SC,South Carolina,2020,01,0.024043372715247716,48,7.0,26.0,15.0,8,4,7.0,7.0,3.0,2.0,1.0,2.0,3.0,2.0,18.0,3.0,4.0,9.0,8.0,0.0,15.0,3.0,2.0,0.0,0.0,7.0,"['china' 'got' 'dr' 'people' 'cure' 'flight' 'outbreak' 'patient' 'person'
 'right']",[9 7 6 5 4 4 4 4 4 4]
USA,SC,South Carolina,2020,02,0.0035792607929704743,155,33.0,76.0,46.0,8,1,14.0,18.0,28.0,5.0,1.0,6.0,13.0,7.0,55.0,8.0,17.0,37.0,7.0,7.0,24.0,9.0,15.0,13.0,8.0,18.0,"['china' 'people' 'wuhan' 'think' 'trump' 'america' 'realdonaldtrump'
 'really' 'beer' 'called']",[16 16 15  9  9  8  8  8  7  7]
USA,SC,South Carolina,2020,03,0.05051088999582408,1062,223.0,433.0,406.0,8,4,160.0,104.0,67.0,73.0,19.0,50.0,96.0,51.0,316.0,126.0,210.0,102.0,147.0,53.0,264.0,76.0,50.0,51.0,58.0,51.0,['people' 'like' 'time' 'know' 'day' 'case' 'need' 'don' 'say' 'make'],[74 65 52 48 45 44 42 41 39 37]
